STNNBR,CSTNO,POS,BTLSER,F,TIME,CTDPRS,CTDDEP,CTDTMP,CTDSAL,THETA,SIGTHT,DOSTTMP,F_1,CTDOXY,F_2,SALNTY,F_3,OXYGEN,F_4,PHSPHT,F_5,NO2+NO3,F_6,NITRIT,F_7,SILCAT,F_8,PH,F_9,PH_TMP,PH_SCL,CHLORA,F_10,PPHYTN,F_11,TCARBN,F_12,ALKALI,F_13
Unnamed: 0,     ,   ,         , , JST,     DBAR,METERS,   ITS-90,   PSS-78,   ITS-90.1,    KG/M3,   ITS-90.2, .1,  UMOL/KG, .2,   PSS-78.1, .3,  UMOL/KG.1, .4,  UMOL/KG.2, .5,  UMOL/KG.3, .6,  UMOL/KG.4, .7,  UMOL/KG.5, .8,         .1, .9, ITS-90,      ,     UG/L, .10,     UG/L.1, .11,  UMOL/KG.6, .12,  UMOL/KG.7,Unnamed: 39
 KS-3056,1,-9,       -9,0,1008,0.0,11.0,29.5345,33.9872,29.5338,21.125,-999.0,9,195.9,2,-999.0,9,196.51,2,0.05,2,0.0,2,0.0,2,1.93,2,-999.0,9,-999,  -999,0.15,2,0.05,2,-999.0,9,-999.0,9
 KS-3056,1,10, 02-21969,2,1017,11.2,11.0,29.4936,33.9831,29.4908,21.1364,29.4964,2,196.4,2,33.9832,6,197.09,2,0.02,2,0.0,2,0.0,2,1.9,2,-999.0,9,-999,  -999,0.13,2,0.05,2,-999.0,9,-999.0,9
 KS-3056,1,9, 02-21968,2,1016,21.6,21.0,28.6874,34.0058,28.6822,21.4233,28.6866,2,201.7,2,-999.0,9,202.52,2,0.02,2,0.0,2,0.0,2,1.85,2,-999.0,9,-999,  -999,0.14,2,0.06,2,-999.0,9,-999.0,9
 KS-3056,1,8, 02-21967,2,1015,32.2,32.0,27.1038,33.9941,27.0964,21.9296,27.097,2,209.7,2,-999.0,9,211.24,2,0.03,2,0.0,2,0.0,2,2.03,2,-999.0,9,-999,  -999,0.22,2,0.12,2,-999.0,9,-999.0,9
 KS-3056,1,7, 02-21966,2,1013,51.9,52.0,24.7067,34.1146,24.6956,22.7641,24.6957,2,202.5,2,34.1087,4,203.18,2,0.05,2,0.0,2,0.0,2,2.56,2,-999.0,9,-999,  -999,0.38,2,0.19,2,-999.0,9,-999.0,9
 KS-3056,1,6, 02-21965,2,1011,78.4,78.0,19.3416,34.5055,19.3275,24.5595,19.2666,2,160.8,2,-999.0,9,163.94,2,0.56,2,7.68,2,0.11,2,11.09,2,-999.0,9,-999,  -999,0.32,2,0.45,2,-999.0,9,-999.0,9
 KS-3056,1,5, 02-21964,2,1010,102.2,101.0,18.2622,34.5671,18.2446,24.8801,18.2613,2,157.9,2,34.4801,4,157.3,2,0.71,2,9.58,2,0.02,2,14.45,2,7.8823,2,25,    TS,0.14,2,0.17,2,2065.1,2,2277.5,2
 KS-3056,1,4, 02-21963,2,1008,116.3,115.0,17.2723,34.5695,17.253,25.1236,17.2325,2,153.8,2,34.5692,2,155.67,2,0.77,2,10.4,2,0.03,2,15.91,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-3056,1,3, 02-21962,2,1008,116.3,115.0,17.2723,34.5695,17.253,25.1236,17.2325,2,153.8,2,34.5693,6,155.84,6,0.78,6,10.48,6,0.03,6,16.06,6,-999.0,9,-999,  -999,0.09,2,0.15,2,-999.0,9,-999.0,9
 KS-3056,1,1, 02-21960,2,1008,116.4,116.0,16.7061,34.5651,16.6872,25.2542,16.7622,2,155.2,2,34.5651,2,153.36,2,0.87,2,11.67,2,0.04,2,18.41,2,-999.0,9,-999,  -999,0.06,2,0.13,2,-999.0,9,-999.0,9
 KS-3058,1,-9,       -9,0,1210,0.0,10.0,29.6049,34.0854,29.6042,21.1749,-999.0,9,196.4,2,-999.0,9,196.28,2,0.04,2,0.0,2,0.0,2,1.7,2,,2,,,0.3,2,0.08,,,,,
 KS-3058,1,11, 02-21970,2,1222,10.2,10.0,29.5819,34.084,29.5794,21.1822,29.5758,2,196.4,2,34.0808,4,196.95,2,0.01,2,0.0,2,0.0,2,1.7,2,,2,,,0.21,2,0.08,,,,,
 KS-3058,1,10, 02-21969,2,1221,21.4,21.0,28.0873,34.0732,28.0823,21.6711,28.0872,2,205.1,2,-999.0,9,205.15,2,0.01,2,0.0,2,0.0,2,1.83,2,,2,,,0.22,2,0.11,,,,,
 KS-3058,1,9, 02-21968,2,1220,30.3,30.0,26.7575,34.076,26.7506,22.1011,26.7401,2,211.8,2,-999.0,9,212.36,2,0.01,2,0.0,2,0.0,2,2.1,2,,2,,,0.35,2,0.18,,,,,
 KS-3058,1,8, 02-21967,2,1218,50.2,50.0,24.7934,34.2426,24.7826,22.8346,24.8035,2,209.9,2,34.2537,4,209.44,2,0.04,2,0.0,2,0.01,2,2.64,2,,2,,,0.57,2,0.4,,,,,
 KS-3058,1,7, 02-21966,2,1216,76.3,76.0,22.9158,34.3515,22.9003,23.4704,22.9058,2,182.1,2,-999.0,9,181.51,2,0.25,2,3.04,2,0.17,2,4.93,2,,2,,,0.38,2,0.53,,,,,
 KS-3058,1,6, 02-21965,2,1215,101.8,101.0,18.1453,34.5826,18.1278,24.9208,18.1444,2,159.7,2,34.5817,2,158.55,2,0.67,2,9.49,2,0.02,2,13.75,2,,9,,,-999.0,9,-999.0,,,,,
 KS-3058,1,5, 02-21964,2,1215,101.8,101.0,18.1453,34.5826,18.1278,24.9208,18.1444,2,159.7,2,34.5818,6,158.55,6,0.68,6,9.53,6,0.02,6,13.77,6,,2,,,0.1,2,0.17,,,,,
 KS-3058,1,4, 02-21963,2,1213,127.3,126.0,18.0088,34.5849,17.987,24.9573,18.0181,2,160.0,2,34.5868,2,159.69,2,0.68,2,9.69,2,0.03,2,13.74,2,,2,,,0.12,2,0.17,,,,,
 KS-3058,1,1, 02-21960,2,1211,150.0,149.0,13.3837,34.479,13.3628,25.916,13.3822,2,155.9,2,34.4799,2,155.54,2,1.13,2,15.81,2,0.03,2,24.44,2,,2,,,0.01,2,0.07,,,,,
 KS-3058,1,3, 02-21962,2,1212,150.4,149.0,13.3789,34.4792,13.358,25.9172,13.3801,2,155.9,2,34.4798,2,155.53,2,1.12,2,15.84,2,0.03,2,24.46,2,,2,,,0.01,2,0.07,,,,,
 KS-3060,1,-9,       -9,0,1430,0.0,10.0,29.0468,34.0203,29.0461,21.3133,-999.0,9,201.6,2,-999.0,9,201.47,2,0.02,2,0.01,2,0.0,2,1.73,2,,2,,,0.27,2,0.07,,,,,
 KS-3060,1,13, 02-21972,2,1441,10.4,10.0,29.0367,34.0217,29.0342,21.3184,29.0373,2,201.7,2,34.0236,2,201.65,2,0.01,2,0.0,2,0.0,2,1.73,2,,2,,,0.27,2,0.08,,,,,
 KS-3060,1,12, 02-21971,2,1440,21.1,21.0,28.2273,34.0681,28.2223,21.6214,28.2267,2,206.0,2,-999.0,9,206.78,2,0.01,2,0.0,2,0.0,2,2.01,2,,2,,,0.3,2,0.16,,,,,
 KS-3060,1,11, 02-21970,2,1439,31.0,31.0,26.8339,34.173,26.8269,22.15,26.8362,2,211.0,2,-999.0,9,211.48,2,0.02,2,0.01,2,0.0,2,2.27,2,,2,,,0.51,2,0.35,,,,,
 KS-3060,1,10, 02-21969,2,1438,50.4,50.0,24.7497,34.4134,24.7389,22.9769,24.7439,2,209.2,2,-999.0,9,209.19,2,0.05,2,0.06,2,0.02,2,2.07,2,,2,,,0.64,2,0.49,,,,,
 KS-3060,1,9, 02-21968,2,1437,75.1,75.0,22.7332,34.598,22.7181,23.7095,22.7288,2,188.6,2,-999.0,9,188.64,2,0.21,2,2.75,2,0.28,2,4.02,2,,2,,,0.35,2,0.46,,,,,
 KS-3060,1,8, 02-21967,2,1435,101.5,101.0,21.8327,34.6872,21.8127,24.0324,21.8367,2,185.6,2,34.6819,4,185.63,2,0.26,2,3.52,2,0.17,2,4.59,2,,9,,,-999.0,9,-999.0,,,,,
 KS-3060,1,7, 02-21966,2,1435,101.5,101.0,21.8327,34.6872,21.8127,24.0324,21.8367,2,185.6,2,34.6791,4,185.56,6,0.27,6,3.56,6,0.18,6,4.66,6,,2,,,0.17,2,0.25,,,,,
 KS-3060,1,6, 02-21965,2,1434,127.0,126.0,20.7132,34.7029,20.6892,24.3517,20.7125,2,184.2,2,-999.0,9,184.66,2,0.31,2,4.26,2,0.09,2,5.24,2,,2,,,0.09,2,0.16,,,,,
 KS-3060,1,5, 02-21964,2,1432,154.2,153.0,18.7884,34.6832,18.7612,24.8396,18.7887,2,177.9,2,-999.0,9,178.09,2,0.47,2,6.57,2,0.07,2,8.03,2,,2,,,0.05,2,0.11,,,,,
 KS-3060,1,4, 02-21963,2,1430,203.2,202.0,13.0213,34.4655,12.9935,25.9801,13.0387,2,156.8,2,34.4697,4,156.66,2,1.15,2,16.14,2,0.01,2,24.64,2,,2,,,0.01,2,0.06,,,,,
 KS-3060,1,3, 02-21962,2,1427,252.7,251.0,12.411,34.4405,12.3774,26.082,12.4101,2,152.3,2,-999.0,9,152.2,2,1.26,2,17.48,2,0.04,2,27.84,2,,9,,,-999.0,9,-999.0,,,,,
 KS-3060,1,1, 02-21960,2,1426,268.2,266.0,12.3461,34.4376,12.3105,26.0927,12.3463,2,151.8,2,34.4374,6,151.09,2,1.27,2,17.67,2,0.05,2,28.29,2,,9,,,-999.0,9,-999.0,,,,,
 KS-3062,1,-9,       -9,0,1743,0.0,11.0,29.3415,34.2526,29.3409,21.389,-999.0,9,197.5,2,-999.0,9,197.48,2,0.03,2,0.03,2,0.0,2,1.42,2,,2,,,0.15,2,0.06,,,,,
 KS-3062,1,32, 02-21991,2,1758,11.5,11.0,29.3371,34.2534,29.3343,21.3917,29.3348,2,197.6,2,34.2535,2,197.56,2,0.01,2,0.0,2,0.0,2,1.31,2,,2,,,0.14,2,0.05,,,,,
 KS-3062,1,31, 02-21990,2,1757,21.3,21.0,28.8594,34.2787,28.8542,21.5711,28.8565,2,201.4,2,-999.0,9,202.1,2,0.0,2,0.0,2,0.0,2,1.22,2,,2,,,0.16,2,0.05,,,,,
 KS-3062,1,30, 02-21989,2,1756,31.9,32.0,28.2244,34.4044,28.2169,21.8759,28.2274,2,204.8,2,-999.0,9,204.8,2,0.0,2,0.0,2,0.0,2,1.17,2,,2,,,0.17,2,0.06,,,,,
 KS-3062,1,29, 02-21988,2,1754,51.0,51.0,26.7474,34.4863,26.7358,22.4148,26.7485,2,205.8,2,-999.0,9,206.14,2,0.01,2,0.0,2,0.0,2,1.32,2,,2,,,0.24,2,0.1,,,,,
 KS-3062,1,28, 02-21987,2,1752,75.3,75.0,25.4723,34.753,25.4558,23.0154,25.4637,2,207.0,2,-999.0,9,207.26,2,0.02,2,0.0,2,0.0,2,1.17,2,,2,,,0.32,2,0.23,,,,,
 KS-3062,1,27, 02-21986,2,1751,100.8,100.0,24.2808,34.8236,24.2594,23.4308,24.2797,2,204.4,2,34.826,2,204.37,2,0.03,2,0.06,2,0.03,2,1.25,2,,2,,,0.37,2,0.48,,,,,
 KS-3062,1,26, 02-21985,2,1750,127.8,127.0,22.4611,34.8413,22.4355,23.9746,22.4595,2,198.9,2,-999.0,9,199.19,2,0.09,2,0.94,2,0.1,2,1.63,2,,2,,,0.12,2,0.26,,,,,
 KS-3062,1,25, 02-21984,2,1749,152.5,151.0,21.5561,34.799,21.5264,24.1967,21.5548,2,189.2,2,-999.0,9,189.5,2,0.2,2,2.58,2,0.04,2,2.85,2,,2,,,0.05,2,0.11,,,,,
 KS-3062,1,18, 02-21977,2,1747,202.7,201.0,19.8448,34.7116,19.8076,24.5923,19.8446,2,182.3,2,34.7115,2,182.44,2,0.38,2,5.2,2,0.04,2,6.18,2,,2,,,0.05,2,0.1,,,,,
 KS-3062,1,17, 02-21976,2,1745,252.4,251.0,17.8552,34.672,17.8121,25.0669,17.857,2,178.5,2,-999.0,9,178.67,2,0.53,2,7.5,2,0.02,2,9.21,2,,9,,,-999.0,9,-999.0,,,,,
